model,feature_set,selected_alpha,model_fit_split,scaler_fit_split,validation_mae_w,validation_rmse_w,validation_r2,test_mae_w,test_rmse_w,test_r2,selected_from_validation_for_figures
persistence,current_power_only,,not_applicable,not_applicable,1.1688996877125792,1.855404879447844,0.5715254501030278,1.1759198533484814,1.729499839998615,0.5982790418728454,False
historical_power_ridge,power_w|power_lag_1m|power_lag_5m|power_lag_15m|power_lag_30m|power_rolling_mean_5m|power_rolling_std_5m|power_rolling_mean_15m|power_rolling_std_15m|power_rolling_mean_30m|power_rolling_std_30m|hour_of_day_sin|hour_of_day_cos|day_of_week_sin|day_of_week_cos|is_weekend,100.0,train,train,1.12152247977447,1.7892582133585224,0.6015317877093125,1.123551294127783,1.6493779635376211,0.6346376320870958,False
non_occupancy_multivariate_ridge,power_w|power_lag_1m|power_lag_5m|power_lag_15m|power_lag_30m|power_rolling_mean_5m|power_rolling_std_5m|power_rolling_mean_15m|power_rolling_std_15m|power_rolling_mean_30m|power_rolling_std_30m|hour_of_day_sin|hour_of_day_cos|day_of_week_sin|day_of_week_cos|is_weekend|temperature_c|humidity_percent|voltage_v|current_a,0.1,train,train,1.0748017022926186,1.7601478373812938,0.6143920889721102,1.0800989673662498,1.6208652205943326,0.6471604620985363,True
