variable,q1,q3,iqr_lower_fence,iqr_upper_fence,di_bawah_fence,di_atas_fence,total_outlier_iqr,interpretasi,tindakan
temperature_c,28.8,31.6,24.6,35.8,0,0,0,indikator_eksploratif_bukan_error_otomatis,dipertahankan_dan_dilaporkan
humidity_percent,64,73,50.5,86.5,106568,0,106568,indikator_eksploratif_bukan_error_otomatis,dipertahankan_dan_dilaporkan
voltage_v,222.5,232,208.25,246.25,18854,2904,21758,indikator_eksploratif_bukan_error_otomatis,dipertahankan_dan_dilaporkan
current_a,0.16,0.17,0.145,0.185,16258,40656,56914,indikator_eksploratif_bukan_error_otomatis,dipertahankan_dan_dilaporkan
power_w,35.1,38.8,29.55,44.35,3322,396,3718,indikator_eksploratif_bukan_error_otomatis,dipertahankan_dan_dilaporkan
occupancy_count,2,4,-1,7,0,0,0,indikator_eksploratif_bukan_error_otomatis,dipertahankan_dan_dilaporkan
