variable,kolom_raw,unit,count,missing,mean,sample_std,min,p25,median,p75,max
temperature_c,Suhu (C),°C,2027520,0,30.1882226562512,1.84747819868381,26,28.8,30.5,31.6,33.9
humidity_percent,Kelembaban (%),%,2027520,0,66.6261501736095,8.45354963144361,47,64,69,73,82
voltage_v,Tegangan (V),V,2027520,0,227.044458550349,7.26150304728912,197.8,222.5,227.5,232,250.9
current_a,Arus (A),A,2027520,0,0.162633257378472,0.0117584308510863,0.12,0.16,0.16,0.17,2.2
power_w,Daya (W),W,2027520,0,36.9326713324678,3.07721863006936,25.4,35.1,36.8,38.8,484
occupancy_count,Jumlah Orang,orang,2027520,0,3.08495008680549,1.3868648962402,0,2,3,4,5
