variable,unit,nilai,jumlah,proporsi
humidity_percent,%,81,242,0.000119357638888889
humidity_percent,%,82,22,1.08506944444444e-05
voltage_v,V,197.8,22,1.08506944444444e-05
voltage_v,V,198.4,22,1.08506944444444e-05
voltage_v,V,198.7,22,1.08506944444444e-05
voltage_v,V,199.2,22,1.08506944444444e-05
voltage_v,V,199.7,22,1.08506944444444e-05
voltage_v,V,199.9,22,1.08506944444444e-05
voltage_v,V,200.3,22,1.08506944444444e-05
voltage_v,V,200.5,44,2.17013888888889e-05
voltage_v,V,200.7,132,6.51041666666667e-05
voltage_v,V,200.8,66,3.25520833333333e-05
voltage_v,V,200.9,22,1.08506944444444e-05
voltage_v,V,201,44,2.17013888888889e-05
voltage_v,V,201.2,66,3.25520833333333e-05
voltage_v,V,201.3,22,1.08506944444444e-05
voltage_v,V,201.4,66,3.25520833333333e-05
voltage_v,V,201.5,22,1.08506944444444e-05
voltage_v,V,201.6,66,3.25520833333333e-05
voltage_v,V,201.7,66,3.25520833333333e-05
voltage_v,V,201.8,44,2.17013888888889e-05
voltage_v,V,201.9,44,2.17013888888889e-05
voltage_v,V,202,44,2.17013888888889e-05
voltage_v,V,202.1,44,2.17013888888889e-05
voltage_v,V,202.2,132,6.51041666666667e-05
voltage_v,V,202.3,66,3.25520833333333e-05
voltage_v,V,202.4,66,3.25520833333333e-05
voltage_v,V,202.5,88,4.34027777777778e-05
voltage_v,V,202.6,66,3.25520833333333e-05
voltage_v,V,202.7,66,3.25520833333333e-05
voltage_v,V,202.8,66,3.25520833333333e-05
voltage_v,V,202.9,66,3.25520833333333e-05
voltage_v,V,203,176,8.68055555555556e-05
voltage_v,V,203.1,22,1.08506944444444e-05
voltage_v,V,203.2,88,4.34027777777778e-05
voltage_v,V,203.3,22,1.08506944444444e-05
voltage_v,V,203.4,44,2.17013888888889e-05
voltage_v,V,203.5,44,2.17013888888889e-05
voltage_v,V,203.6,132,6.51041666666667e-05
voltage_v,V,203.7,110,5.42534722222222e-05
voltage_v,V,203.8,154,7.59548611111111e-05
voltage_v,V,203.9,22,1.08506944444444e-05
voltage_v,V,204,66,3.25520833333333e-05
voltage_v,V,204.1,132,6.51041666666667e-05
voltage_v,V,204.2,176,8.68055555555556e-05
voltage_v,V,204.3,110,5.42534722222222e-05
voltage_v,V,204.4,66,3.25520833333333e-05
voltage_v,V,204.5,110,5.42534722222222e-05
voltage_v,V,204.6,88,4.34027777777778e-05
voltage_v,V,204.7,110,5.42534722222222e-05
voltage_v,V,204.8,176,8.68055555555556e-05
voltage_v,V,204.9,132,6.51041666666667e-05
voltage_v,V,205,110,5.42534722222222e-05
voltage_v,V,205.1,176,8.68055555555556e-05
voltage_v,V,205.2,220,0.000108506944444444
voltage_v,V,205.3,264,0.000130208333333333
voltage_v,V,205.4,242,0.000119357638888889
voltage_v,V,205.5,308,0.000151909722222222
voltage_v,V,205.6,264,0.000130208333333333
voltage_v,V,205.7,352,0.000173611111111111
voltage_v,V,205.8,484,0.000238715277777778
voltage_v,V,205.9,286,0.000141059027777778
voltage_v,V,206,418,0.000206163194444444
voltage_v,V,206.1,308,0.000151909722222222
voltage_v,V,206.2,374,0.000184461805555556
voltage_v,V,206.3,264,0.000130208333333333
voltage_v,V,206.4,528,0.000260416666666667
voltage_v,V,206.5,308,0.000151909722222222
voltage_v,V,206.6,308,0.000151909722222222
voltage_v,V,206.7,462,0.000227864583333333
voltage_v,V,206.8,440,0.000217013888888889
voltage_v,V,206.9,528,0.000260416666666667
voltage_v,V,207,594,0.00029296875
voltage_v,V,207.1,572,0.000282118055555556
voltage_v,V,207.2,440,0.000217013888888889
voltage_v,V,207.3,660,0.000325520833333333
voltage_v,V,207.4,374,0.000184461805555556
voltage_v,V,207.5,858,0.000423177083333333
voltage_v,V,207.6,682,0.000336371527777778
voltage_v,V,207.7,770,0.000379774305555556
voltage_v,V,207.8,704,0.000347222222222222
voltage_v,V,207.9,550,0.000271267361111111
voltage_v,V,208,814,0.000401475694444444
voltage_v,V,208.1,726,0.000358072916666667
voltage_v,V,208.2,924,0.000455729166666667
voltage_v,V,208.3,660,0.000325520833333333
voltage_v,V,208.4,858,0.000423177083333333
voltage_v,V,208.5,682,0.000336371527777778
voltage_v,V,208.6,770,0.000379774305555556
voltage_v,V,208.7,616,0.000303819444444444
voltage_v,V,208.8,880,0.000434027777777778
voltage_v,V,208.9,814,0.000401475694444444
voltage_v,V,209,748,0.000368923611111111
voltage_v,V,209.1,682,0.000336371527777778
voltage_v,V,209.2,1034,0.000509982638888889
voltage_v,V,209.3,1034,0.000509982638888889
voltage_v,V,209.4,792,0.000390625
voltage_v,V,209.5,1122,0.000553385416666667
voltage_v,V,209.6,792,0.000390625
voltage_v,V,209.7,1144,0.000564236111111111
voltage_v,V,209.8,1276,0.000629340277777778
voltage_v,V,209.9,1012,0.000499131944444444
voltage_v,V,210,1100,0.000542534722222222
voltage_v,V,210.1,1232,0.000607638888888889
voltage_v,V,210.2,1320,0.000651041666666667
voltage_v,V,210.3,1144,0.000564236111111111
voltage_v,V,210.4,1012,0.000499131944444444
voltage_v,V,210.5,1298,0.000640190972222222
voltage_v,V,210.6,1298,0.000640190972222222
voltage_v,V,210.7,990,0.00048828125
voltage_v,V,210.8,946,0.000466579861111111
voltage_v,V,210.9,946,0.000466579861111111
voltage_v,V,211,1078,0.000531684027777778
voltage_v,V,211.1,1232,0.000607638888888889
voltage_v,V,211.2,1254,0.000618489583333333
voltage_v,V,211.3,1166,0.000575086805555556
voltage_v,V,211.4,1100,0.000542534722222222
voltage_v,V,211.5,1078,0.000531684027777778
voltage_v,V,211.6,1166,0.000575086805555556
voltage_v,V,211.7,1166,0.000575086805555556
voltage_v,V,211.8,1276,0.000629340277777778
voltage_v,V,211.9,1122,0.000553385416666667
voltage_v,V,212,1254,0.000618489583333333
voltage_v,V,212.1,1144,0.000564236111111111
voltage_v,V,212.2,1342,0.000661892361111111
voltage_v,V,212.3,1540,0.000759548611111111
voltage_v,V,212.4,1540,0.000759548611111111
voltage_v,V,212.5,1474,0.000726996527777778
voltage_v,V,212.6,1848,0.000911458333333333
voltage_v,V,212.7,1584,0.00078125
voltage_v,V,212.8,1694,0.000835503472222222
voltage_v,V,212.9,1606,0.000792100694444444
voltage_v,V,213,1958,0.000965711805555556
voltage_v,V,213.1,1694,0.000835503472222222
voltage_v,V,213.2,1738,0.000857204861111111
voltage_v,V,213.3,1870,0.000922309027777778
voltage_v,V,213.4,1518,0.000748697916666667
voltage_v,V,213.5,2178,0.00107421875
voltage_v,V,213.6,2002,0.000987413194444444
voltage_v,V,213.7,2266,0.00111762152777778
voltage_v,V,213.8,2112,0.00104166666666667
voltage_v,V,213.9,2420,0.00119357638888889
voltage_v,V,214,2398,0.00118272569444444
voltage_v,V,214.1,2200,0.00108506944444444
voltage_v,V,214.2,2024,0.000998263888888889
voltage_v,V,214.3,2376,0.001171875
voltage_v,V,214.4,2508,0.00123697916666667
voltage_v,V,214.5,2552,0.00125868055555556
voltage_v,V,214.6,2530,0.00124782986111111
voltage_v,V,214.7,2530,0.00124782986111111
voltage_v,V,214.8,2750,0.00135633680555556
voltage_v,V,214.9,2640,0.00130208333333333
voltage_v,V,215,2552,0.00125868055555556
voltage_v,V,215.1,2552,0.00125868055555556
voltage_v,V,215.2,3190,0.00157335069444444
voltage_v,V,215.3,2706,0.00133463541666667
voltage_v,V,215.4,2728,0.00134548611111111
voltage_v,V,215.5,3410,0.00168185763888889
voltage_v,V,215.6,4180,0.00206163194444444
voltage_v,V,215.7,3652,0.00180121527777778
voltage_v,V,215.8,3740,0.00184461805555556
voltage_v,V,215.9,3564,0.0017578125
voltage_v,V,216,3718,0.00183376736111111
voltage_v,V,216.1,4048,0.00199652777777778
voltage_v,V,216.2,3850,0.00189887152777778
voltage_v,V,216.3,4092,0.00201822916666667
voltage_v,V,216.4,3454,0.00170355902777778
voltage_v,V,216.5,4400,0.00217013888888889
voltage_v,V,216.6,4026,0.00198567708333333
voltage_v,V,216.7,3410,0.00168185763888889
voltage_v,V,216.8,3784,0.00186631944444444
voltage_v,V,216.9,4224,0.00208333333333333
voltage_v,V,217,3784,0.00186631944444444
voltage_v,V,217.1,4026,0.00198567708333333
voltage_v,V,217.2,3894,0.00192057291666667
voltage_v,V,217.3,4312,0.00212673611111111
voltage_v,V,217.4,4730,0.00233289930555556
voltage_v,V,217.5,4488,0.00221354166666667
voltage_v,V,217.6,4444,0.00219184027777778
voltage_v,V,217.7,4312,0.00212673611111111
voltage_v,V,217.8,4092,0.00201822916666667
voltage_v,V,217.9,5214,0.00257161458333333
voltage_v,V,218,5170,0.00254991319444444
voltage_v,V,218.1,4356,0.0021484375
voltage_v,V,218.2,4378,0.00215928819444444
voltage_v,V,218.3,4642,0.00228949652777778
voltage_v,V,218.4,4312,0.00212673611111111
voltage_v,V,218.5,4444,0.00219184027777778
voltage_v,V,218.6,4730,0.00233289930555556
voltage_v,V,218.7,4928,0.00243055555555556
voltage_v,V,218.8,4158,0.00205078125
voltage_v,V,218.9,4730,0.00233289930555556
voltage_v,V,219,4840,0.00238715277777778
voltage_v,V,219.1,5412,0.00266927083333333
voltage_v,V,219.2,5302,0.00261501736111111
voltage_v,V,219.3,5588,0.00275607638888889
voltage_v,V,219.4,5434,0.00268012152777778
voltage_v,V,219.5,5346,0.00263671875
voltage_v,V,219.6,5676,0.00279947916666667
voltage_v,V,219.7,5082,0.00250651041666667
voltage_v,V,219.8,5610,0.00276692708333333
voltage_v,V,219.9,5456,0.00269097222222222
voltage_v,V,220,6006,0.00296223958333333
voltage_v,V,220.1,5500,0.00271267361111111
voltage_v,V,220.2,5522,0.00272352430555556
voltage_v,V,220.3,5786,0.00285373263888889
voltage_v,V,220.4,6974,0.00343967013888889
voltage_v,V,220.5,6226,0.00307074652777778
voltage_v,V,220.6,5610,0.00276692708333333
voltage_v,V,220.7,6226,0.00307074652777778
voltage_v,V,220.8,6314,0.00311414930555556
voltage_v,V,220.9,6996,0.00345052083333333
voltage_v,V,221,6204,0.00305989583333333
voltage_v,V,221.1,7370,0.00363498263888889
voltage_v,V,221.2,7084,0.00349392361111111
voltage_v,V,221.3,6710,0.00330946180555556
voltage_v,V,221.4,7282,0.00359157986111111
voltage_v,V,221.5,7040,0.00347222222222222
voltage_v,V,221.6,7040,0.00347222222222222
voltage_v,V,221.7,8514,0.00419921875
voltage_v,V,221.8,7282,0.00359157986111111
voltage_v,V,221.9,7282,0.00359157986111111
voltage_v,V,222,7414,0.00365668402777778
voltage_v,V,222.1,7194,0.00354817708333333
voltage_v,V,222.2,7018,0.00346137152777778
voltage_v,V,222.3,7788,0.00384114583333333
voltage_v,V,222.4,8228,0.00405815972222222
voltage_v,V,222.5,7656,0.00377604166666667
voltage_v,V,222.6,8316,0.0041015625
voltage_v,V,222.7,8030,0.00396050347222222
voltage_v,V,222.8,7766,0.00383029513888889
voltage_v,V,222.9,7898,0.00389539930555556
voltage_v,V,223,8206,0.00404730902777778
voltage_v,V,223.1,7700,0.00379774305555556
voltage_v,V,223.2,8360,0.00412326388888889
voltage_v,V,223.3,13244,0.00653211805555556
voltage_v,V,223.4,8008,0.00394965277777778
voltage_v,V,223.5,8932,0.00440538194444444
voltage_v,V,223.6,8690,0.00428602430555556
