rule_id,rule_name,action_class,severity,priority,threshold_basis,threshold_configuration_json,recommendation_text,recommendation_count,sample_count,sample_coverage,recommendation_share
DS-RULE-000,invalid_or_missing_input,review_input,review,1,input_validation_requirement,"{""rule_id"":""DS-RULE-000"",""threshold_basis"":""input_validation_requirement""}",Periksa kelengkapan dan validitas input sebelum membuat rekomendasi operasional.,0,0,0.0,0.0
DS-RULE-001,unoccupied_but_elevated_power,inspect_active_load,medium,2,declared_research_scenario_threshold,"{""comparator"":""greater_than"",""current_or_forecast"":""any"",""occupancy_equals"":0,""power_threshold_w"":40.0,""rule_id"":""DS-RULE-001"",""threshold_basis"":""declared_research_scenario_threshold"",""threshold_selection_note"":""scenario_evaluation_only_not_literature_derived_or_outcome_validated""}",Periksa beban listrik yang masih aktif ketika ruang tidak terisi.,45,45,0.0024826216484607746,0.0024826216484607746
DS-RULE-002,forecasted_power_increase,review_forecasted_load,low,3,declared_research_scenario_threshold,"{""comparator"":""greater_than"",""forecast_delta_threshold_w"":2.0,""rule_id"":""DS-RULE-002"",""threshold_basis"":""declared_research_scenario_threshold"",""threshold_selection_note"":""scenario_evaluation_only_not_literature_derived_or_outcome_validated""}",Tinjau kemungkinan beban mendatang karena forecast 30 menit lebih tinggi dari daya saat ini.,45,45,0.0024826216484607746,0.0024826216484607746
DS-RULE-003,occupied_high_environmental_condition,inspect_room_condition,medium,2,declared_research_scenario_threshold,"{""comparator"":""greater_than"",""environmental_logic"":""any"",""humidity_threshold_percent"":75.0,""occupancy_min_exclusive"":0,""rule_id"":""DS-RULE-003"",""temperature_threshold_c"":32.0,""threshold_basis"":""declared_research_scenario_threshold"",""threshold_selection_note"":""scenario_evaluation_only_not_literature_derived_or_outcome_validated""}",Periksa kondisi temperature dan humidity ruang yang sedang terisi.,4228,4228,0.2332560962153812,0.2332560962153812
DS-RULE-004,normal_monitoring,no_action,info,4,rule_fallback,"{""activation_condition"":""no_significant_rule_triggered"",""rule_id"":""DS-RULE-004"",""threshold_basis"":""rule_fallback""}",Tidak ada tindakan khusus; lanjutkan pemantauan normal.,13808,13808,0.7617786604876973,0.7617786604876973
